loan_id,reporting_period,dq_score
102218329006,102017,100
102218329006,112017,100
102218329006,122017,100
102218329006,12018,100
102218329006,22018,100
102218329006,32018,100
102218329006,42018,100
102218329006,52018,100
102218329006,62018,100
102218329006,72018,100
102218329006,82018,100
102218329006,92018,100
102218329006,102018,100
102218329006,112018,100
102218329006,122018,100
102218329006,12019,100
102218329006,22019,100
102218329006,32019,100
102218329006,42019,100
102218329006,52019,100
102218329006,62019,100
102218329006,72019,100
102218329006,82019,100
102218329006,92019,100
102218329006,102019,100
102218329006,112019,100
102218329006,122019,100
102218329006,12020,100
102218329006,22020,100
102218329006,32020,100
102218329006,42020,100
102218329006,52020,100
102218329006,62020,100
102458150755,92009,100
102458150755,102009,100
102458150755,112009,100
102458150755,122009,100
102458150755,12010,100
102458150755,22010,100
102458150755,32010,100
102458150755,42010,100
102458150755,52010,100
102458150755,62010,100
102458150755,72010,100
102458150755,82010,100
102458150755,92010,100
102458150755,102010,100
102458150755,112010,100
102458150755,122010,100
102458150755,12011,100
102458150755,22011,100
102458150755,32011,100
102458150755,42011,100
102458150755,52011,100
102458150755,62011,100
102458150755,72011,100
102458150755,82011,100
102458150755,92011,100
102458150755,102011,100
102458150755,112011,100
102458150755,122011,100
102458150755,12012,100
102458150755,22012,100
102458150755,32012,100
102458150755,42012,100
102458150755,52012,100
102458150755,62012,100
102458150755,72012,100
102458150755,82012,100
102458150755,92012,100
102458150755,102012,100
102458150755,112012,100
102458150755,122012,100
102458150755,12013,100
102458150755,22013,100
102458150755,32013,100
102458150755,42013,100
102458150755,52013,100
102458150755,62013,100
102458150755,72013,100
102458150755,82013,100
102458150755,92013,100
102458150755,102013,100
102458150755,112013,100
102458150755,122013,100
102458150755,12014,100
102458150755,22014,100
102458150755,32014,100
102458150755,42014,100
102458150755,52014,100
102458150755,62014,100
102458150755,72014,100
102458150755,82014,100
102458150755,92014,100
102458150755,102014,100
102458150755,112014,100
102458150755,122014,100
102458150755,12015,100
102458150755,22015,100
102458150755,32015,100
102458150755,42015,100
102458150755,52015,100
102458150755,62015,100
102458150755,72015,100
102458150755,82015,100
102458150755,92015,100
102458150755,102015,100
102458150755,112015,100
102458150755,122015,100
102458150755,12016,100
102458150755,22016,100
102458150755,32016,100
102458150755,42016,100
102458150755,52016,100
102458150755,62016,100
102458150755,72016,100
102458150755,82016,100
102458150755,92016,100
102458150755,102016,100
102458150755,112016,100
102458150755,122016,100
102458150755,12017,100
102458150755,22017,100
102458150755,32017,100
102458150755,42017,100
102458150755,52017,100
102458150755,62017,100
102458150755,72017,100
102458150755,82017,100
102458150755,92017,100
102458150755,102017,100
102458150755,112017,100
102458150755,122017,100
102458150755,12018,100
102458150755,22018,100
102458150755,32018,100
102458150755,42018,100
102458150755,52018,100
102458150755,62018,100
102458150755,72018,100
102458150755,82018,100
102458150755,92018,100
102458150755,102018,100
102458150755,112018,100
102458150755,122018,100
102458150755,12019,100
102458150755,22019,100
102458150755,32019,100
102458150755,42019,100
102458150755,52019,100
102458150755,62019,100
102458150755,72019,100
102458150755,82019,100
102458150755,92019,100
102458150755,102019,100
102458150755,112019,100
102458150755,122019,100
102458150755,12020,100
102458150755,22020,100
102458150755,32020,100
102458150755,42020,100
102458150755,52020,100
102458150755,62020,100
